着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,4,7,グラスワンダー　　,牡5,57,的場均,02:37.2,,512,12,尾形充弘,1
2,2,3,スペシャルウィーク,牡5,57,武豊,02:37.2,ハナ,464,-4,白井寿昭,2
3,6,11,テイエムオペラオー,牡4,55,和田竜二,02:37.2,クビ,474,-2,岩元市三,5
4,6,10,ツルマルツヨシ,牡5,57,藤田伸二,02:37.3, 1/2,504,6,二分久男,6
5,7,13,メジロブライト,牡6,56,河内洋,02:37.5,1    ,470,8,浅見秀一,3
6,8,14,ゴーイングスズカ,牡7,56,芹沢純一,02:37.5,クビ,460,2,橋田満,14
7,1,1,ナリタトップロード,牡4,55,渡辺薫彦,02:37.8,1 3/4,492,6,沖芳夫,4
8,7,12,ファレノプシス,牝5,55,蛯名正義,02:38.1,1 3/4,442,0,浜田光正,9
9,5,9,フサイチエアデール,牝4,53,福永祐一,02:38.1,アタマ,434,-4,松田国英,10
10,3,5,ステイゴールド,牡6,56,熊沢重文,02:38.2, 1/2,428,8,池江泰郎,8
11,2,2,スエヒロコマンダー,牡5,57,後藤浩輝,02:38.2,クビ,434,4,松元茂樹,12
12,8,15,ダイワオーシュウ,牡6,56,柴田善臣,02:38.3, 1/2,472,2,二ノ宮敬宇,11
13,3,4,ユーセイトップラン,牡7,56,松永幹夫,02:38.9,3 1/2,490,18,音無秀孝,13
14,4,6,シンボリインディ,牡4,55,横山典弘,02:39.2,2    ,468,20,藤沢和雄,7
除外,5,8,インターフラッグ,牡7,56,岡部幸雄,,,434,0,工藤嘉見,発売後取消

