着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,8,11,リユウフオーレル,牡5,,宮本悳,02:42.5,,,,橋本正晴,2
2,2,2,メイズイ,牡4,,保田隆芳,02:42.7,1 1/2,,,尾形藤吉,1
3,6,6,トキクイン,牝6,,古山良司,02:42.9,1 1/4,,,稲葉幸夫,6
4,1,1,ヒロキミ,牡5,,高橋英夫,02:43.1,1 1/2,,,二本柳俊夫,4
5,7,8,ハヤトオー,牡4,,伊藤竹男,02:43.2,クビ,,,古賀嘉蔵,5
6,3,3,クニイサミ,牡4,,加賀武見,02:43.3, 3/4,,,松永光雄,9
7,5,5,グレートヨルカ,牡4,,森安重勝,02:43.3,ハナ,,,尾形藤吉,3
8,8,10,ミオソチス,牝4,,高松三太,02:43.3,アタマ,,,川上武一,8
9,7,9,キクノヒカリ,牡4,,梶輿四松,02:43.5, 3/4,,,稲葉秀男,10
10,6,7,トウコン,牡6,,山岡つとむ,02:43.7,1 1/4,,,矢野幸夫,7
取消,4,4,スズトップラン,牡5,,野平好男,,,,,森末之助,-





