順位,出来事
1位,ミャンマーで反政府デモ、日本人映像ジャーナリスト死亡
2位,ニューヨーク原油、最高値９９．２９ドル記録
3位,中国産品から有毒物質、安全性に不安高まる
4位,サブプライム問題で米経済失速
5位,米大学銃乱射で３２人死亡
6位,北の核「無能力化」に向け共同文書採択
7位,スマトラ島地震で８０人超死亡
8位,仏大統領にサルコジ氏
9位,ノーベル平和賞にゴア前米副大統領ら
10位,タリバンが韓国人２３人誘拐、牧師ら２人殺害
