順位,出来事
1位,モスクワで劇場占拠事件
2位,バリ島で爆弾テロ
3位,対イラクで安保理決議、米は攻撃準備進める
4位,欧州で１５０年ぶりの大洪水
5位,「ユーロ」の現金流通開始
6位,北朝鮮が核開発継続認める
7位,ブッシュ米大統領「悪の枢軸」発言
8位,中国共産党大会で胡新指導部発足
9位,イスラエル軍がパレスチナ自治区へ大規模侵攻
10位,北朝鮮住民２５人が亡命
