順位,出来事
1位,安倍元首相が撃たれ死亡、９月に国葬
2位,サッカーＷ杯で日本代表熱戦
3位,知床観光船沈没事故
4位,大谷翔平、ルース以来の２桁勝利２桁本塁打
5位,ヤクルト村上が５６号本塁打、三冠王
6位,３２年ぶり円安、１ドル＝１５０円突破
7位,北京五輪、日本勢のメダル冬季最多
8位,旧統一教会が政治問題化、文科相が質問権行使
9位,藤井聡太竜王が最年少五冠
10位,新型コロナ感染者、１日あたり１０万人超え
