順位,出来事
1位,アテネで１０８年ぶり五輪
2位,米大統領にブッシュ氏再選
3位,露・北オセチヤで学校占拠事件
4位,アラファトＰＬＯ議長死去
5位,鳥インフルエンザで死者相次ぐ
6位,スペインで列車爆破テロ
7位,イラクで外国人拉致相次ぐ
8位,北朝鮮で貨物列車爆発
9位,ＮＹ原油が史上最高値を更新
10位,モスクワで地下鉄爆破テロ
