着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,1,2,アンバーシャダイ,牡5,,東信二,02:35.5,,,,二本柳俊夫,3
2,7,13,ホウヨウボーイ,牡7,,加藤和宏,02:35.9,2 1/2,,,二本柳俊夫,1
3,1,1,モンテプリンス,牡5,,吉永正人,02:35.9,アタマ,,,松山吉三郎,2
4,2,4,オペックホース,牡5,,郷原洋行,02:36.0,クビ,,,佐藤勇,10
5,7,14,ゴールドスペンサー,牡6,,大西直宏,02:36.1,クビ,,,中尾銑治,4
6,4,8,アグネステスコ,牝4,,西浦勝一,02:36.8,4    ,,,久保道雄,6
7,8,15,ハセシノブ,牝5,,岡部幸雄,02:36.9, 1/2,,,畠山重則,14
8,5,10,ジュウジアロー,牝5,,柴田政人,02:37.0,クビ,,,加藤修甫,11
9,8,16,ミナガワマンナ,牡4,,菅原泰夫,02:37.1, 1/2,,,仲住芳雄,5
10,6,12,メジロファントム,牡7,,横山富雄,02:37.6,3    ,,,大久保洋吉,12
11,3,5,タクラマカン,牡4,,大崎昭一,02:37.7, 3/4,,,松山康久,8
12,6,11,ハワイアンイメージ,牡5,,増沢末夫,02:38.4,4    ,,,鈴木勝太郎,15
13,4,7,サーペンプリンス,牡5,,谷原義明,02:38.7,1 3/4,,,大久保洋吉,16
14,3,6,サクラシンゲキ,牡5,,小島太,02:38.8, 1/2,,,境勝太郎,9
15,2,3,キタノリキオー,牡5,,田村正光,02:38.9, 1/2,,,伊藤竹男,13
16,5,9,タケノハッピー,牝5,,伊藤正徳,02:39.3,2 1/2,,,尾形盛次,7
