着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,2,3,メジロパーマー,牡6,,山田泰誠,02:33.5,,,,大久保正陽,15
2,3,6,レガシーワールド,せ4,,小谷内秀夫,02:33.5,ハナ,,,戸山為夫,5
3,1,1,ナイスネイチャ,牡5,,松永昌博,02:33.7,1 1/4,,,松永善晴,4
4,4,7,レッツゴーターキン,牡6,,大崎昭一,02:33.7,クビ,,,橋口弘次郎,10
5,5,9,オースミロッチ,牡6,,松本達也,02:33.8, 1/2,,,中尾正,11
6,6,12,ムービースター,牡7,,南井克巳,02:33.8,アタマ,,,坪憲章,9
7,6,11,イクノディクタス,牝6,,村本善之,02:34.1,1 3/4,,,福島信晴,16
8,8,16,ライスシャワー,牡4,,的場均,02:34.1,クビ,,,飯塚好次,2
9,7,14,ヒシマサル,牡4,,武豊,02:34.5,2 1/2,,,佐山優,3
10,1,2,ホワイトストーン,牡6,,柴田政人,02:34.5,ハナ,,,高松邦男,6
11,3,5,トウカイテイオー,牡5,,田原成貴,02:34.8,1 3/4,,,松元省一,1
12,4,8,ダイタクヘリオス,牡6,,岸滋彦,02:34.8,クビ,,,梅田康雄,7
13,2,4,レオダーバン,牡5,,横山典弘,02:35.2,2 1/2,,,奥平真治,12
14,5,10,フジヤマケンザン,牡5,,小島貞博,02:35.3, 3/4,,,戸山為夫,8
15,8,15,ヤマニングローバル,牡6,,河内洋,02:35.4,クビ,,,浅見国一,14
中止,7,13,サンエイサンキュー,牝4,,加藤和宏,,,,,佐藤勝美,13
