着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,5,6,ダイナガリバー,牡4,,増沢末夫,02:34.0,,,,松山吉三郎,4
2,2,2,ギャロップダイナ,牡7,,柴崎勇,02:34.1, 1/2,,,矢野進,11
3,1,1,ミホシンザン,牡5,,柴田政人,02:34.2, 1/2,,,田中朋次郎,1
4,8,11,メジロボアール,牡4,,的場均,02:34.4,1 1/2,,,大久保洋吉,12
5,6,8,フレッシュボイス,牡4,,田原成貴,02:34.4,ハナ,,,境直行,8
6,6,7,レジェンドテイオー,牡4,,郷原洋行,02:34.5,クビ,,,田村駿仁,10
6,7,9,サクラユタカオー,牡5,,小島太,02:34.5,同着,,,境勝太郎,3
8,3,3,スズパレード,牡6,,蛯沢誠治,02:34.6,クビ,,,富田六郎,6
9,5,5,メジロラモーヌ,牝4,,河内洋,02:34.6,ハナ,,,奥平真治,2
10,8,12,クシロキング,牡5,,岡部幸雄,02:34.6,アタマ,,,中野隆良,5
11,4,4,スダホーク,牡5,,田村正光,02:34.8,1 1/4,,,古山良司,9
12,7,10,サクラサニーオー,牡5,,東信二,02:35.6,5    ,,,境勝太郎,7




