2022,戦,村神様
2021,金,リアル二刀流／ショータイム
2020,密,3密
2019,令,ONETEAM
2018,災,そだねー
2017,北,インスタ映え
2016,金,神ってる
2015,安,爆買い
2014,税,ダメよ〜ダメダメ
2013,輪,今でしょ!
2012,金,ワイルドだろぉ
2011,絆,なでしこジャパン
2010,暑,ゲゲゲの〜
2009,新,政権交代
2008,変,グ〜!
2007,偽,（宮崎を）どげんかせんといかん
2006,命,イナバウアー
2005,愛,小泉劇場
2004,災,チョー気持ちいい
2003,虎,毒まんじゅう
2002,帰,タマちゃん
2001,戦,「小泉語録」
