着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,5,10,ハーツクライ,牡4,57,Ｃ．ルメール,02:31.9,,498,2,橋口弘次郎,4
2,3,6,ディープインパクト,牡3,55,武豊,02:32.0, 1/2,440,-4,池江泰郎,1
3,7,14,リンカーン,牡5,57,横山典弘,02:32.2,1 1/4,474,2,音無秀孝,6
4,2,4,コスモバルク,牡4,57,五十嵐冬樹,02:32.4,1 1/4,506,6,田部和則,10
5,7,13,コイントス,牡7,57,北村宏司,02:32.5, 1/2,550,6,藤沢和雄,16
6,4,7,ヘヴンリーロマンス,牝5,55,松永幹夫,02:32.5,クビ,508,0,山本正司,8
7,1,2,サンライズペガサス,牡7,57,田中勝春,02:32.7,1 1/4,492,8,石坂正,9
8,2,3,ゼンノロブロイ,牡5,57,Ｋ．デザーモ,02:32.8,クビ,520,12,藤沢和雄,2
9,4,8,グラスボンバー,牡5,57,勝浦正樹,02:32.9, 1/2,492,6,尾形充弘,11
10,3,5,スズカマンボ,牡4,57,安藤勝己,02:32.9,クビ,498,10,橋田満,7
11,8,15,デルタブルース,牡4,57,Ｏ．ペリエ,02:33.0, 3/4,530,2,角居勝彦,3
12,5,9,タップダンスシチー,牡8,57,佐藤哲三,02:33.3,1 3/4,512,2,佐々木晶三,5
13,6,12,ビッグゴールド,牡7,57,柴田善臣,02:33.6,2    ,474,6,中尾正,14
14,6,11,オペラシチー,牡4,57,中舘英二,02:33.7,クビ,504,-4,佐々木晶三,13
15,8,16,オースミハルカ,牝5,55,川島信二,02:33.8, 1/2,474,-2,安藤正敏,12
16,1,1,マイソールサウンド,牡6,57,本田優,02:34.3,3    ,474,4,西浦勝一,15
