着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,1,1,ゼンノロブロイ,牡4,57,O.ペリエ,02:29.5,レコード,508,6,藤沢和雄,1
2,5,9,タップダンスシチー,牡7,57,佐藤哲三,02:29.6, 1/2,504,前走計量不能,佐々木晶三,3
3,4,6,シルクフェイマス,牡5,57,四位洋文,02:29.8,1 1/2,480,14,鮫島一歩,9
4,5,8,ダイタクバートラム,牡6,57,武豊,02:30.0,1    ,498,0,橋口弘次郎,5
5,6,10,デルタブルース,牡3,55,Ｄ.ボニヤ,02:30.0,クビ,530,18,角居勝彦,4
6,2,3,ハイアーゲーム,牡3,55,吉田豊,02:30.4,2 1/2,518,12,大久保洋吉,14
7,8,15,アドマイヤドン,牡5,57,安藤勝己,02:30.4,クビ,452,-2,松田博資,8
8,7,13,ツルマルボーイ,牡6,57,蛯名正義,02:30.5,クビ,462,-2,橋口弘次郎,7
9,3,5,ハーツクライ,牡3,55,横山典弘,02:30.5,アタマ,472,-8,橋口弘次郎,10
10,4,7,ユキノサンロイヤル,牡7,57,柴田善臣,02:30.5,ハナ,472,2,増沢末夫,15
11,3,4,コスモバルク,牡3,55,五十嵐冬樹,02:30.5,アタマ,498,6,田部和則,2
12,2,2,ピサノクウカイ,牡3,55,藤田伸二,02:31.0,3    ,514,2,藤沢和雄,13
13,7,12,グレイトジャーニー,牡3,55,小牧太,02:31.0,アタマ,458,-2,池江泰郎,11
14,6,11,ヒシミラクル,牡5,57,角田晃一,02:31.3,1 3/4,456,2,佐山優,6
15,8,14,コイントス,牡6,57,岡部幸雄,02:31.5,1 1/4,534,6,藤沢和雄,12

