着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,1,2,キタサンブラック,牡5,57,武豊,02:33.6,,540,-2,清水久詞,1
2,2,3,クイーンズリング,牝5,55,C.ルメール,02:33.8,1 1/2,474,0,吉村圭司,8
3,5,10,シュヴァルグラン,牡5,57,Ｈ.ボウマン,02:33.8,ハナ,474,4,友道康夫,3
4,7,14,スワーヴリチャード,牡3,55,M.デムーロ,02:33.8,クビ,510,8,庄野靖志,2
5,6,11,ルージュバック,牝5,55,北村宏司,02:34.0,1 1/4,460,6,大竹正博,10
6,4,7,シャケトラ,牡4,57,福永祐一,02:34.1, 3/4,520,-4,角居勝彦,7
7,8,16,サウンズオブアース,牡6,57,C.デムーロ,02:34.2,クビ,512,10,藤岡健一,14
8,4,8,レインボーライン,牡4,57,岩田康誠,02:34.3, 1/2,444,-4,浅見秀一,9
9,3,6,サトノクロニクル,牡3,55,戸崎圭太,02:34.3,クビ,454,0,池江泰寿,11
10,1,1,ヤマカツエース,牡5,57,池添謙一,02:34.4, 1/2,510,4,池添兼雄,6
11,7,13,ミッキークイーン,牝5,55,浜中俊,02:34.5, 1/2,432,-10,池江泰寿,5
12,2,4,ブレスジャーニー,牡3,55,三浦皇成,02:34.6, 3/4,466,4,佐々木晶三,12
13,6,12,サトノクラウン,牡5,57,Ｒ.ムーア,02:34.6,ハナ,496,0,堀宣行,4
14,3,5,トーセンビクトリー,牝5,55,田辺裕信,02:34.8,1 1/4,482,10,角居勝彦,15
15,8,15,カレンミロティック,せん9,57,川田将雅,02:35.1,1 3/4,460,4,平田修,16
16,5,9,マルチサクラアンプルール,牡6,57,蛯名正義,02:35.5,2 1/2,494,12,金成貴史,13
