順位,出来事
1位,北朝鮮が核実験実施
2位,ジャワ島地震で死者約６０００人
3位,北朝鮮がミサイル発射
4位,冥王星、太陽系惑星から除外
5位,米中間選挙で民主党勝利
6位,フセインに死刑判決
7位,ニューヨーク原油が７７ドル突破
8位,鳥インフルエンザ死者、通算で１００人突破
9位,元露ＦＳＢ中佐、英国で殺害
10位,インドで列車同時テロ
