着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,8,14,カブトシロー,牡6,,大崎昭一,02:39.7,,,,久保田彦之,4
2,6,11,リユウフアーロス,牡5,,宮本悳,02:40.7,6    ,,,橋本正晴,2
3,3,4,ムネヒサ,牡4,,古山良司,02:40.7,ハナ,,,藤本冨良,6
4,3,5,スピードシンボリ,牡5,,野平祐二,02:40.8, 3/4,,,野平省三,1
5,1,1,ニウオンワード,牡4,,森安重勝,02:40.9, 1/2,,,尾形藤吉,13
6,4,7,ハマテツソ,牡6,,保田隆芳,02:41.4,3    ,,,松山吉三郎,5
7,7,13,ナスノフブキ,牡5,,嶋田功,02:41.7,1 3/4,,,稲葉幸夫,10
8,5,8,モンタサン,牡4,,油木宣夫,02:42.0,1 3/4,,,矢野幸夫,8
9,2,2,ブッシヤン,牡6,,大和田稔,02:42.3,1 3/4,,,二本柳俊夫,12
10,7,12,タマクイン,牝5,,小島太,02:42.5,1 1/4,,,高木良三,11
11,2,3,ヒシヤクシン,牡5,,小野定夫,02:42.8,1 3/4,,,稗田敏男,9
12,6,10,ネイチブランナー,牡5,,増沢末夫,02:43.0,1 1/4,,,山岡寿恵次,3
13,4,6,リコウ,牡6,,横山富雄,02:43.0,ハナ,,,小西喜蔵,7
14,8,15,メジロアサヒ,牝4,,矢野一博,02:43.7,4    ,,,大久保末吉,14
取消,5,9,タニカゼ,牡4,,吉永正人,,,,,松山吉三郎,-

