着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,4,8,ブラストワンピース,牡3,55,池添謙一,02:32.2,,534,4,大竹正博,3
2,6,12,レイデオロ,牡4,57,C.ルメール,02:32.2,クビ,490,8,藤沢和雄,1
3,8,15,シュヴァルグラン,牡6,57,H.ボウマン,02:32.4,1 1/4,470,2,友道康夫,9
4,6,11,ミッキーロケット,牡5,57,O.マーフィー,02:32.7,1 1/2,472,-2,音無秀孝,8
5,7,14,キセキ,牡4,57,川田将雅,02:32.8, 3/4,506,2,中竹和也,2
6,3,6,サトノダイヤモンド,牡5,57,B.アヴドゥラ,02:32.8,クビ,506,2,池江泰寿,6
7,8,16,マルチサクラアンプルール,牡7,57,田辺裕信,02:32.9,クビ,486,18,金成貴史,15
8,2,3,モズカッチャン,牝4,55,M.デムーロ,02:33.0, 3/4,486,-4,鮫島一歩,4
9,1,1,オジュウチョウサン,牡7,57,武豊,02:33.0,アタマ,514,2,和田正一郎,5
10,2,4,マカヒキ,牡5,57,岩田康誠,02:33.0,アタマ,504,10,友道康夫,12
11,5,10,ミッキースワロー,牡4,57,横山典弘,02:33.1, 1/2,480,-2,菊沢隆徳,10
12,5,9,マルチリッジマン,牡5,57,蛯名正義,02:33.4,2    ,440,0,庄野靖志,13
13,7,13,スマートレイアー,牝8,55,戸崎圭太,02:33.5,クビ,460,-18,大久保龍志,16
14,3,5,パフォーマプロミス,牡6,57,C.デムーロ,02:33.7,1 1/4,464,10,藤原英昭,7
15,1,2,クリンチャー,牡4,57,福永祐一,02:33.8, 1/2,490,前計不,宮本博,11
16,4,7,サウンズオブアース,牡7,57,藤岡佑介,02:34.5,4    ,504,14,藤岡健一,14
