着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,4,7,テイエムオペラオー,牡5,57,和田竜二,02:34.1,,480,4,岩元市三,1
2,7,13,メイショウドトウ,牡5,57,安田康彦,02:34.1,ハナ,512,8,安田伊佐夫,2
3,6,12,ダイワテキサス,牡8,56,蛯名正義,02:34.2, 3/4,484,4,増沢末夫,13
4,5,10,キングヘイロー,牡6,56,柴田善臣,02:34.3, 1/2,488,-6,坂口正大,9
5,7,14,アドマイヤボス,牡4,55,武豊,02:34.3,ハナ,492,4,橋田満,6
6,8,15,アメリカンボス,牡6,56,江田照男,02:34.7,2 1/2,484,10,田子冬樹,15
7,6,11,ステイゴールド,牡7,56,後藤浩輝,02:34.8,クビ,430,0,池江泰郎,10
8,8,16,メイショウオウドウ,牡6,56,河内洋,02:35.0,1    ,468,6,飯田明弘,12
9,2,4,ナリタトップロード,牡5,57,的場均,02:35.1, 3/4,488,4,沖芳夫,3
10,2,3,ホットシークレット,せん5,57,横山典弘,02:35.1,クビ,460,0,後藤由之,8
11,4,8,ユーセイトップラン,牡8,56,中舘英二,02:35.2,クビ,482,2,音無秀孝,16
12,1,2,マチカネキンノホシ,牡5,57,岡部幸雄,02:36.0,5    ,536,6,藤沢和雄,7
13,3,5,ジョービッグバン,牡6,56,山田和広,02:36.3,1 3/4,456,-8,坪正直,11
14,3,6,トーホウシデン,牡4,55,田中勝春,02:36.9,3 1/2,426,-4,田中清隆,5
15,5,9,ゴーイングスズカ,牡8,56,芹沢純一,02:38.5,10    ,464,6,橋田満,14
中止,1,1,ツルマルツヨシ,牡6,56,藤田伸二,,,508,4,二分久男,4
