着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,8,13,トウショウボーイ,牡4,,武邦彦,02:34.0,レコード,,,保田隆芳,1
2,7,12,テンポイント,牡4,,鹿戸明,02:34.2,1 1/2,,,小川佐助,3
3,1,1,アイフル,牡6,,菅原泰夫,02:34.5,2    ,,,仲住芳雄,4
4,4,6,ヤマブキオー,牡7,,徳吉一己,02:34.9,2 1/2,,,森末之助,9
5,3,4,テイタニヤ,牝4,,嶋田功,02:35.1,1 1/4,,,稲葉幸夫,13
6,2,2,エリモジヨージ,牡5,,福永洋一,02:35.2, 1/2,,,大久保正陽,2
7,3,3,キクノオー,牡6,,横山富雄,02:35.3, 1/2,,,山岡寿恵次,7
8,5,7,フジノパーシア,牡6,,大崎昭一,02:35.6,1 3/4,,,柴田寛,6
9,4,5,ハーバーヤング,牡5,,岡部幸雄,02:35.7, 1/2,,,稲葉秀男,5
10,6,9,コクサイプリンス,牡5,,井高淳一,02:35.8, 1/2,,,稗田敏男,12
11,6,10,タイホウヒーロー,牡5,,小島太,02:35.9, 1/2,,,曽場広作,11
12,8,14,ハクバタロー,牡5,,安田富男,02:36.0, 1/2,,,野平富久,14
13,7,11,スピリツトスワプス,牡4,,中野栄治,02:36.8,5    ,,,荒木静雄,10
14,5,8,グレートセイカン,牡5,,郷原洋行,02:38.0,7    ,,,大久保房松,8


