順位,出来事
1位,シドニー五輪で女性大活躍
2位,三宅島噴火で全島民が避難
3位,１７歳の凶悪犯罪が続発
4位,小渕首相倒れ森連立内閣発足
5位,雪印乳業の製品で集団食中毒
6位,新潟不明少女、９年ぶり保護
7位,「ＯＮ対決」で巨人日本一
8位,白川博士にノーベル化学賞
9位,沖縄でサミット開催
10位,有珠山が噴火
