着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,3,4,トウカイテイオー,牡6,,田原成貴,02:30.9,,,,松元省一,4
2,8,13,ビワハヤヒデ,牡4,,岡部幸雄,02:31.0, 1/2,,,濱田光正,1
3,7,12,ナイスネイチャ,牡6,,松永昌博,02:31.6,3 1/2,,,松永善晴,10
4,5,8,マチカネタンホイザ,牡5,,柴田善臣,02:31.6,アタマ,,,伊藤雄二,13
5,6,9,レガシーワールド,せ5,,河内洋,02:31.7,クビ,,,森秀行,2
6,8,14,メジロパーマー,牡7,,横山典弘,02:31.9,1 1/4,,,大久保正陽,9
7,2,2,セキテイリュウオー,牡5,,田中勝春,02:32.1,1    ,,,藤原敏文,7
8,4,6,ライスシャワー,牡5,,的場均,02:32.1,クビ,,,飯塚好次,5
9,3,3,ベガ,牝4,,武豊,02:32.3,1 1/4,,,松田博資,6
10,4,5,ウィッシュドリーム,牡5,,藤田伸二,02:32.3,クビ,,,坪憲章,11
11,7,11,ウイニングチケット,牡4,,柴田政人,02:32.6,2    ,,,伊藤雄二,3
12,1,1,エルカーサリバー,牝5,,蛯名正義,02:33.1,3    ,,,田中良平,14
13,6,10,エルウェーウィン,牡4,,南井克巳,02:34.7,10    ,,,坪憲章,8
14,5,7,ホワイトストーン,牡7,,田面木博公,02:34.8,クビ,,,高松邦男,12


