順位,出来事
1位,ノーベル物理学賞に小柴昌俊さん、化学賞には田中耕一さん
2位,史上初の日朝首脳会談、金総書記「拉致」認め、被害者５人帰国
3位,サッカーｗ杯、初の日韓共催で日本ベスト１６
4位,巨人が日本一、松井秀喜選手大リーグへ
5位,鈴木宗男衆院議員をあっせん収賄容疑で逮捕
6位,牛肉「偽装」事件相次ぐ
7位,高円宮さま、ご逝去
8位,秘書給与流用疑惑で辻元清美、田中真紀子両衆院議員が辞職
9位,日本総領事館内で中国武装警察が亡命者連行
10位,小泉首相が田中真紀子外相を更迭
