着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,5,9,ドリームジャーニー,牡5,57,池添謙一,02:30.0,,426,4,池江泰寿,2
2,1,2,ブエナビスタ,牝3,53,横山典弘,02:30.1, 1/2,446,-8,松田博資,1
3,3,6,エアシェイディ,牡8,57,後藤浩輝,02:30.8,4    ,494,0,伊藤正徳,11
4,8,16,フォゲッタブル,牡3,55,Ｃ．ルメール,02:30.8,アタマ,484,-2,池江泰郎,4
5,2,4,マイネルキッツ,牡6,57,三浦皇成,02:31.2,2 1/2,504,6,国枝栄,12
6,7,14,セイウンワンダー,牡3,55,藤田伸二,02:31.6,2 1/2,518,4,領家政蔵,10
7,4,7,マツリダゴッホ,牡6,57,蛯名正義,02:31.9,1 3/4,502,12,国枝栄,3
8,6,11,イコピコ,牡3,55,内田博幸,02:32.6, 1/3,456,-10,西園正都,9
9,7,13,シャドウゲイト,牡7,57,田中勝春,02:32.7, 3/4,504,4,加藤征弘,16
10,3,5,シカク地コスモバルク,牡8,57,五十嵐冬樹,02:32.8,クビ,512,2,田部和則,15
11,2,3,ミヤビランベリ,牡6,57,吉田隼人,02:32.8,アタマ,492,-4,加藤敬二,7
12,8,15,ネヴァブション,牡6,57,北村宏司,02:33.9,7    ,488,-2,伊藤正徳,13
13,4,8,リーチザクラウン,牡3,55,武豊,02:34.6,4    ,508,2,橋口弘次郎,5
14,6,12,テイエムプリキュア,牝6,55,熊沢重文,02:35.7,7    ,504,-2,五十嵐忠男,14
15,1,1,アンライバルド,牡3,55,Ｍ．デムーロ,02:36.8,7    ,474,4,友道康夫,8
中止,5,10,スリーロールス,牡3,55,浜中俊,,,498,0,武宏平,6
