順位,出来事
1位,ジョー・バイデン氏が米大統領に就任
2位,新変異株「オミクロン株」、世界で感染拡大
3位,新型コロナの世界感染者が２億人超に
4位,ミャンマーで国軍がクーデター
5位,アフガニスタンでタリバンが首都制圧
6位,日本のコンテナ船、スエズ運河で座礁
7位,北朝鮮、相次ぎミサイル発射
8位,トランプ米大統領支持者が議事堂占拠
9位,中国の不動産大手「中国恒大」が経営危機
10位,新型コロナ治療の飲み薬、米製薬大手メルクが使用申請
