着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,7,8,リュウズキ,牡5,,森安弘明,02:46.2,,,,矢倉玉男,6
2,8,11,ニウオンワード,牡5,,増沢末夫,02:46.6,2 1/2,,,尾形藤吉,4
3,2,2,スピードシンボリ,牡6,,野平祐二,02:46.6,アタマ,,,野平省三,2
4,6,6,モンタサン,牡5,,油木宣夫,02:46.8,1 1/4,,,矢野幸夫,3
5,7,9,コマカブト,牡4,,丸目敏栄,02:46.8,ハナ,,,橋本輝雄,11
6,4,4,アサカオー,牡4,,加賀武見,02:46.9, 1/2,,,中村広,1
7,8,10,ダイパレード,牡5,,小島太,02:47.0, 1/2,,,柄崎義信,10
8,3,3,ルピナス,牝4,,菅原泰夫,02:47.5,3    ,,,茂木為二朗,9
9,6,7,シエスキイ,牡6,,郷原洋行,02:47.7,1 1/2,,,大久保房松,7
10,1,1,カブトシロー,牡7,,増田久,02:48.4,4    ,,,久保田彦之,5
11,5,5,ハードウェイ,牝4,,嶋田功,02:48.7,2    ,,,柄崎義信,8





