着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,1,1,ヴィクトワールピサ,牡3,55,Ｍ．デムーロ,02:32.6,,512,2,角居勝彦,2
2,4,7,ブエナビスタ,牝4,55,Ｃ．スミヨン,02:32.6,ハナ,464,2,松田博資,1
3,6,11,トゥザグローリー,牡3,55,Ｃ．ウィリアムズ,02:32.6,クビ,524,-4,池江泰郎,14
4,7,14,ペルーサ,牡3,55,安藤勝己,02:32.7, 3/4,510,0,藤沢和雄,3
5,2,4,トーセンジョーダン,牡4,57,三浦皇成,02:32.9,1 1/2,490,10,池江泰寿,7
6,3,5,ルーラーシップ,牡3,55,Ｃ．ルメール,02:33.0,クビ,492,-4,角居勝彦,6
7,5,10,エイシンフラッシュ,牡3,55,内田博幸,02:33.0,アタマ,488,0,藤原英昭,5
8,1,2,ネヴァブション,牡7,57,後藤浩輝,02:33.4,2 1/2,494,2,伊藤正徳,12
9,5,9,ダノンシャンティ,牡3,55,Ｆ．ベリー,02:33.6,1 1/2,482,14,松田国英,10
10,2,3,フォゲッタブル,牡4,57,岩田康誠,02:33.6,クビ,484,-4,池江泰郎,13
11,7,13,オウケンブルースリ,牡5,57,横山典弘,02:33.7, 1/2,492,0,音無秀孝,8
12,4,8,メイショウベルーガ,牝5,55,蛯名正義,02:33.8,クビ,508,10,池添兼雄,9
13,6,12,ドリームジャーニー,牡6,57,池添謙一,02:33.8,アタマ,434,12,池江泰寿,4
14,8,15,レッドディザイア,牝4,55,四位洋文,02:34.0,1 1/4,478,前計不,松永幹夫,11
15,8,16,ジャミール,牡4,57,福永祐一,02:34.0,アタマ,456,4,松元茂樹,15
取消,3,6,ローズキングダム,牡3,55,武豊,,,,,橋口弘次郎,
