着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,5,9,ヒカリデユール,牡6,,河内洋,02:36.7,,,,須貝彦三,3
2,3,4,アンバーシャダイ,牡6,,加藤和宏,02:36.7,アタマ,,,二本柳俊夫,1
3,6,11,キョウエイプロミス,牡6,,柴田政人,02:36.9,1 1/4,,,高松邦男,13
4,7,12,トドロキヒホウ,牡5,,安田富男,02:37.0,クビ,,,元石孝昭,15
5,6,10,ビクトリアクラウン,牝4,,嶋田功,02:37.1, 1/2,,,稲葉幸夫,6
6,8,14,トウショウゴッド,牡6,,中島啓之,02:37.1,クビ,,,奥平真治,10
7,4,6,ワカテンザン,牡4,,小谷内秀夫,02:37.2,クビ,,,戸山為夫,7
8,5,8,メジロティターン,牡5,,伊藤正徳,02:37.3, 3/4,,,尾形盛次,2
9,2,3,オペックホース,牡6,,郷原洋行,02:37.6,1 3/4,,,佐藤勇,12
10,8,15,メジロファントム,牡8,,的場均,02:37.8,1 1/4,,,大久保洋吉,11
11,1,1,モンテプリンス,牡6,,吉永正人,02:37.8,クビ,,,松山吉三郎,5
12,2,2,ミナガワマンナ,牡5,,菅原泰夫,02:38.0,1 1/4,,,仲住芳雄,4
13,7,13,カズシゲ,牡6,,田原成貴,02:38.0,アタマ,,,須貝彦三,8
14,3,5,カツアール,牡7,,樋口弘,02:38.1, 1/2,,,柳田次男,14
15,4,7,アキビンゴ,牡4,,田村正光,02:38.4,2    ,,,大久保良雄,9

