着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,4,7,メジロデュレン,牡5,,村本善之,02:33.9,,,,池江泰郎,10
2,4,8,ユーワジェームス,牡4,,安田富男,02:34.0, 1/2,,,新関力,7
3,1,1,ハシケンエルド,牡5,,飯田明弘,02:34.0,ハナ,,,中尾正,14
4,2,3,レジェンドテイオー,牡5,,郷原洋行,02:34.2,1 1/2,,,田村駿仁,6
5,1,2,ミスターブランディ,牡6,,津留千彰,02:34.2,ハナ,,,大和田稔,13
6,7,13,カシマウイング,牡5,,的場均,02:34.3,クビ,,,飯塚好次,9
7,2,4,ダイナアクトレス,牝5,,岡部幸雄,02:34.3,アタマ,,,矢野進,2
8,5,10,アサカツービート,牡7,,加藤和宏,02:34.5,1 1/2,,,元石正雄,16
9,3,6,クシロキング,牡6,,柴田善臣,02:34.7,1    ,,,中野隆良,15
10,8,16,マックスビューティ,牝4,,田原成貴,02:35.0,2    ,,,伊藤雄二,4
11,6,11,トウカイローマン,牝7,,大崎昭一,02:35.1,クビ,,,中村均,12
12,8,15,タレンティドガール,牝4,,蛯沢誠治,02:35.9,5    ,,,栗田博憲,8
13,6,12,スダホーク,牡6,,柴田政人,02:36.0, 1/2,,,古山良司,11
14,5,9,ダイナガリバー,牡5,,増沢末夫,02:36.0,ハナ,,,松山吉三郎,5
中止,3,5,サクラスターオー,牡4,,東信二,?,?,,,平井雄二,1
中止,7,14,メリーナイス,牡4,,根本康広,?,?,,,橋本輝雄,3
