順位,出来事
1位,チリ鉱山落盤事故３３人「奇跡の救出」
2位,北朝鮮が韓国を砲撃、韓国側で民間人含む死者４人
3位,上海万博開幕、７３００万人入場
4位,ハイチでＭ７.０地震、２３万人死亡
5位,メキシコ湾で原油流出、米史上最悪の海洋汚染事故
6位,金正恩氏が後継に確定
7位,ノーベル平和賞に中国民主活動家の劉氏
8位,韓国哨戒艦沈没、「北の魚雷攻撃で」
9位,ミャンマーで２０年ぶり総選挙、スー・チーさん解放
10位,アイスランド火山噴火、欧州全域で航空機飛行禁止措置
