着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,1,2,グラスワンダー,牡4,,的場均,02:32.1,,,,尾形充弘,4
2,5,10,メジロブライト,牡5,,河内洋,02:32.2, 1/2,,,浅見秀一,3
3,3,5,ステイゴールド,牡5,,熊沢重文,02:32.6,2 1/2,,,池江泰郎,11
4,6,11,セイウンスカイ,牡4,,横山典弘,02:32.7,クビ,,,保田一隆,1
5,2,3,エアグルーヴ,牝6,,武豊,02:32.9,1 1/2,,,伊藤雄二,2
6,7,13,キングヘイロー,牡4,,福永祐一,02:32.9,アタマ,,,坂口正大,10
7,4,8,シルクジャスティス,牡5,,藤田伸二,02:33.0, 1/2,,,大久保正陽,6
8,2,4,ダイワオーシュウ,牡5,,柴田善臣,02:33.0,ハナ,,,二ノ宮敬宇,12
9,7,14,メジロドーベル,牝5,,吉田豊,02:33.2,1 1/4,,,大久保洋吉,7
10,3,6,オフサイドトラップ,牡8,,蛯名正義,02:33.2,ハナ,,,加藤修甫,8
11,8,16,エモシオン,牡4,,松永幹夫,02:33.2,アタマ,,,小林稔,9
12,6,12,ユーセイトップラン,牡6,,佐藤哲三,02:33.3,クビ,,,音無秀孝,13
13,1,1,マチカネフクキタル,牡5,,岡部幸雄,02:34.3,6    ,,,二分久男,5
14,5,9,サンライズフラッグ,牡5,,安田康彦,02:35.2,5    ,,,安田伊佐夫,14
15,8,15,ビッグサンデー,牡5,,高橋亮,02:36.2,6    ,,,中尾正,15
16,4,7,オースミタイクーン,牡8,,武幸四郎,02:36.4,1 1/4,,,武邦彦,16
