順位,出来事
1位,仏、核実験を強行
2位,ラビン首相暗殺
3位,スー・チーさん６年ぶり解放
4位,盧泰愚前韓国大統領を逮捕
5位,米連邦政府ビル爆破テロで１６８人死亡
6位,ボスニア包括和平合意
7位,ソウルで百貨店崩壊
8位,サハリンで大地震
9位,シンプソン被告に無罪評決
10位,全斗煥元韓国大統領を逮捕
