順位,出来事
1位,米大統領選でオバマ氏勝利、米史上初の黒人大統領誕生へ
2位,中国・四川大地震発生、被災者１０００万人超の未曽有の大災害
3位,米証券大手リーマンが破綻、米国発の金融危機が世界に波及
4位,北京で五輪開催
5位,ＮＹ原油、最高値１４７．２７ドル記録
6位,ミャンマーでサイクロン被害、死者・行方不明者１３万人超す
7位,インドの商都ムンバイで同時テロ、邦人１人含む１６３人死亡
8位,チベットで大規模暴動
9位,北京五輪の聖火リレー、世界各地で混乱
10位,インドネシアで鳥インフルエンザの死者１００人超す
