着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,8,11,ストロングエイト,牡5,,中島啓之,02:36.4,,,,奥平真治,10
2,2,2,ニツトウチドリ,牝4,,横山富雄,02:36.5,クビ,,,八木沢勝美,7
3,6,6,ハイセイコー,牡4,,増沢末夫,02:36.6, 1/2,,,鈴木勝太郎,1
4,5,5,タニノチカラ,牡5,,田島日出雄,02:36.7,クビ,,,島崎宏,2
5,4,4,ベルワイド,牡6,,加賀武見,02:36.7,アタマ,,,阿部正太郎,3
6,1,1,ナオキ,牡5,,佐々木昭次,02:37.0,2    ,,,田中康三,6
7,7,9,ホツカイダイヤ,牡4,,野平祐二,02:37.0,クビ,,,野平省三,11
8,7,8,ヤマニンウエーブ,牡7,,福永洋一,02:37.1,クビ,,,中村覚之助,5
9,3,3,オンワードガイ,牡6,,蓑田早人,02:37.4,2    ,,,森末之助,9
10,8,10,ミヨシホマレ,牡5,,吉永正人,02:37.5, 1/2,,,松山吉三郎,8
11,6,7,イチフジイサミ,牡4,,郷原洋行,02:37.9,2 1/2,,,松永光雄,4





