順位,出来事
1位,米大統領選、バイデン氏が当選確実
2位,ＷＨＯ、新型コロナウイルスのパンデミック表明
3位,米国で警官に拘束された黒人男性が死亡、抗議デモ世界に
4位,英国がＥＵを離脱
5位,香港の国家安全維持法が施行
6位,米トランプ大統領、新型コロナに感染
7位,米トランプ大統領、ＷＨＯ脱退を表明
8位,英ヘンリー王子夫妻、公務引退
9位,アルゼンチンのマラドーナ氏が死去
10位,核兵器禁止条約の発効決定
