着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,3,6,リスグラシュー,牝5,55,D.レーン,02:30.5,,468,前計不,矢作芳人,2
2,5,10,サートゥルナーリア,牡3,55,C.スミヨン,02:31.3,5    ,504,2,角居勝彦,3
3,4,7,ワールドプレミア,牡3,55,武豊,02:31.4,クビ,492,8,友道康夫,4
4,3,5,フィエールマン,牡4,57,池添謙一,02:31.6,1 1/2,482,前計不,手塚貴久,6
5,6,11,キセキ,牡5,57,R.ムーア,02:31.6,クビ,506,前計不,角居勝彦,7
6,8,16,シュヴァルグラン,牡7,57,福永祐一,02:31.9,1 3/4,470,6,友道康夫,14
7,4,8,レイデオロ,牡5,57,三浦皇成,02:32.1,1 1/4,494,8,藤沢和雄,9
8,7,14,ヴェロックス,牡3,55,川田将雅,02:32.3,1    ,494,4,中内田充正,8
9,5,9,アーモンドアイ,牝4,55,C.ルメール,02:32.3,ハナ,486,6,国枝栄,1
10,2,3,エタリオウ,牡4,57,横山典弘,02:32.4,クビ,460,0,友道康夫,10
11,7,13,アルアイン,牡5,57,松山弘平,02:32.8,2 1/2,52,0,池江泰寿,15
12,1,2,スワーヴリチャード,牡5,57,O.マーフィー,02:33.6,5    ,526,10,庄野靖志,5
13,2,4,スティッフェリオ,牡5,57,丸山元気,02:34.0,2 1/2,456,8,音無秀孝,13
14,8,15,アエロリット,牝5,55,津村明秀,02:35.0,6    ,514,-2,菊沢隆徳,12
15,1,1,スカーレットカラー,牝4,55,岩田康誠,02:35.3,1 3/4,474,-12,高橋亮,11
16,6,12,クロコスミア,牝6,55,藤岡佑介,02:35.3,クビ,444,-4,西浦勝一,16
