順位,出来事
1位,神戸の小６殺害で１４歳逮捕
2位,ペルー日本大使公邸に武力突入
3位,金融機関の経営破たん相次ぐ
4位,タンカーから重油が流出、日本海沿岸を汚染
5位,日本、悲願のサッカーＷ杯出場
6位,土井さん宇宙遊泳成功
7位,消費税５％スタート
8位,野村証券元幹部逮捕、「総会屋汚染」明るみに
9位,動燃で爆発事故などの不祥事相次ぐ
10位,ホステス殺人の福田容疑者、時効直前逮捕
