枠番,馬番,馬名,性齢,負担,騎手,調教師
1,1,アカイイト,牝5,55,幸英明,中竹和也
1,2,イズジョーノキセキ,牝5,55,岩田康誠,石坂公一
2,3,ボルドグフーシュ,牡3,55,福永祐一,宮本博
2,4,アリストテレス,牡5,57,武豊,音無秀孝
3,5,ジェラルディーナ,牝4,55,C.デムーロ,斉藤崇史
3,6,ヴェラアズール,牡5,57,松山弘平,渡辺薫彦
4,7,エフフォーリア,牡4,57,横山武史,鹿戸雄一
4,8,ウインマイティー,牝5,55,和田竜二,五十嵐忠男
5,9,イクイノックス,牡3,55,C.ルメール,木村哲也
5,10,ジャスティンパレス,牡3,55,T.マーカンド,杉山晴紀
6,11,ラストドラフト,牡6,57,三浦皇成,戸田博文
6,12,ポタジェ,牡5,57,吉田隼人,友道康夫
7,13,タイトルホルダー,牡4,57,横山和生,栗田徹
7,14,ボッケリーニ,牡6,57,浜中俊,池江泰寿
8,15,ブレークアップ,牡4,57,戸崎圭太,黒岩陽一
8,16,ディープボンド,牡5,57,川田将雅,大久保龍志
