順位,出来事
1位,ノーベル賞に大村、梶田両氏
2位,ラグビーＷ杯、日本は３勝の歴史的快挙
3位,「イスラム国」が日本人２人を拘束、殺害映像を公開
4位,マイナンバー制度がスタート
5位,関東・東北豪雨、茨城などで８人死亡
6位,安全保障関連法が成立
7位,北陸新幹線、長野―金沢間が開業
8位,横浜市でマンション傾斜、基礎工事のデータ改ざん
9位,ＴＰＰ、日米など１２か国で大筋合意
10位,東京五輪エンブレムを撤回、再公募に
