着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,6,11,サトノダイヤモンド,牡3,55,C.ルメール,02:32.6,,502,4,池江泰寿,1
2,1,1,キタサンブラック,牡4,57,武豊,02:32.6,クビ,536,0,清水久詞,2
3,1,2,ゴールドアクター,牡5,57,吉田隼人,02:32.7, 1/2,498,-6,中川公成,3
4,2,4,ヤマカツエース,牡4,57,池添謙一,02:32.9,1 1/4,508,4,池添兼雄,8
5,4,8,ミッキークイーン,牝4,55,浜中俊,02:33.0,クビ,434,-8,池江泰寿,7
6,7,14,シュヴァルグラン,牡4,57,福永祐一,02:33.1, 1/2,484,2,友道康夫,5
7,8,15,アルバート,牡5,57,戸崎圭太,02:33.3,1 1/2,472,0,堀宣行,10
8,3,6,サウンズオブアース,牡5,57,M.デムーロ,02:33.4, 1/2,506,4,藤岡健一,4
9,7,13,デニムアンドルビー,牝6,55,M.バルザローナ,02:33.4,クビ,444,0,角居勝彦,11
10,8,16,マリアライト,牝5,55,蛯名正義,02:33.6,1 1/2,436,4,久保田貴士,6
11,5,10,アドマイヤデウス,牡5,57,岩田康誠,02:33.6,ハナ,490,14,橋田満,9
12,5,9,ヒットザターゲット,牡8,57,田辺裕信,02:34.1,3    ,520,4,加藤敬二,15
13,6,12,サトノノブレス,牡6,57,Ｖ.シュミノー,02:34.8,4    ,510,-2,池江泰寿,13
14,2,3,ムスカテール,牡8,57,中谷雄太,02:34.9, 1/2,492,2,友道康夫,16
15,4,7,マルターズアポジー,牡4,57,武士沢友治,02:35.0, 1/2,536,8,堀井雅広,12
16,3,5,サムソンズプライド,牡6,57,横山典弘,02:35.6,3 1/2,484,0,杉浦宏昭,14
