着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,8,13,ダイワスカーレット,牝4,55,安藤勝己,02:31.5,,494,-4,松田国英,1
2,8,14,アドマイヤモナーク,牡7,57,川田将雅,02:31.8,1 3/4,468,6,松田博資,14
3,4,6,エアシェイディ,牡7,57,後藤浩輝,02:31.9, 3/4,496,6,伊藤正徳,10
4,7,11,ドリームジャーニー,牡4,57,池添謙一,02:31.9,ハナ,430,10,池江泰寿,7
5,5,8,スクリーンヒーロー,牡4,57,M.デムーロ,02:32.0,クビ,488,2,鹿戸雄一,3
6,5,7,アルナスライン,牡4,57,O.ペリエ,02:32.2,1,554,14,松元茂樹,5
7,1,1,カワカミプリンセス,牝5,55,横山典弘,02:32.5,2,488,-10,西浦勝一,6
8,6,9,メイショウサムソン,牡5,57,武豊,02:32.5,ハナ,520,4,高橋成忠,4
9,4,5,フローテーション,牡3,55,C.ルメール,02:32.7,1 1/4,486,2,橋口弘次郎,8
10,2,2,ベンチャーナイン,牡3,55,柴田善臣,02:32.7,クビ,500,0,小桧山悟,13
11,3,3,コスモバルク,牡7,57,松岡正海,02:32.8, 1/2,516,2,田部和則,12
12,6,10,マツリダゴッホ,牡5,57,蛯名正義,02:33.1,1 3/4,498,6,国枝栄,2
13,3,4,エアジパング,せん5,57,藤田伸二,02:33.9,5,452,8,藤原英昭,11
14,7,12,アサクサキングス,牡4,57,四位洋文,02:34.3,2 1/2,498,0,大久保龍志,9
