順位,出来事
1位,米英軍がイラク攻撃、フセイン政権は崩壊
2位,新型肺炎が各国で猛威
3位,スペースシャトルが空中分解
4位,中国初の有人宇宙飛行
5位,イラクで爆弾テロなど続く
6位,米カリフォルニアで山火事
7位,韓国で地下鉄放火、１９２人死亡
8位,カリフォルニア州知事にシュワルツェネッガー氏
9位,米、カナダで大停電
10位,北朝鮮、核拡散防止条約から脱退
