順位,出来事
1位,ノーベル生理学・医学賞に山中教授
2位,東京スカイツリー開業
3位,ロンドン五輪、史上最多のメダル３８個
4位,政権問う師走の衆院総選挙
5位,尖閣国有化で日中関係悪化
6位,金環日食、９３２年ぶり広範囲観測
7位,中央道トンネルで崩落、９人死亡
8位,巨人が３年ぶり２２度目の日本一
9位,地下鉄サリン事件で特別手配の菊地容疑者ら逮捕、オウム捜査終結へ
10位,兵庫県尼崎市のドラム缶遺体事件、連続遺体遺棄・行方不明事件に発展
