着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,7,10,イシノアラシ,牡4,,加賀武見,02:38.1,,,,浅野武志,7
2,8,12,フジノパーシア,牡5,,大崎昭一,02:38.4,2    ,,,柴田寛,1
3,8,13,ツキサムホマレ,牡7,,増田久,02:38.5, 3/4,,,元石正雄,12
4,5,7,スズタカツバサ,牡5,,小島太,02:38.5,アタマ,,,境勝太郎,13
5,5,6,ヤマブキオー,牡6,,徳吉一己,02:38.6, 1/2,,,森末之助,9
6,1,1,トウコウエルザ,牝5,,中野栄治,02:38.7,クビ,,,仲住達弥,8
7,4,5,キクノオー,牡5,,吉永正人,02:38.8,クビ,,,山岡寿恵次,4
8,2,2,キタノカチドキ,牡5,,武邦彦,02:38.9, 3/4,,,服部正利,2
9,4,4,ノボルトウコウ,牡7,,安田富男,02:38.9,クビ,,,加藤朝治郎,11
10,6,8,カーネルシンボリ,牡5,,郷原洋行,02:39.1,1    ,,,黒坂洋基,3
11,6,9,トドロキムサシ,牡5,,中島啓之,02:39.1,アタマ,,,仲住達弥,5
12,7,11,ナスノチグサ,牝6,,嶋田功,02:39.3, 3/4,,,稲葉幸夫,10
13,3,3,ホワイトフオンテン,牡6,,高橋司,02:39.5,1 1/2,,,大久保勝之,6



