順位,出来事
1位,パリで同時テロ。「イスラム国」の犯行
2位,ネパールで大地震、約９０００人死亡
3位,米国とキューバが５４年ぶり国交回復
4位,欧州でシリアなどからの難民が急増
5位,ミャンマー総選挙でＮＬＤが圧勝
6位,独フォルクスワーゲンが排ガス規制不正
7位,英国のウィリアム王子に長女誕生
8位,国際サッカー連盟で汚職疑惑
9位,フランスの新聞社で銃撃テロ
10位,ギリシャ総選挙で「反緊縮」政権が発足。ユーロ危機が深刻化
