着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,4,8,オグリキャップ,牡6,,武豊,02:34.2,,,,瀬戸口勉,4
2,3,5,メジロライアン,牡4,,横山典弘,02:34.3, 3/4,,,奥平真治,3
3,7,13,ホワイトストーン,牡4,,柴田政人,02:34.4,クビ,,,高松邦男,1
4,2,3,オサイチジョージ,牡5,,丸山勝秀,02:34.5, 1/2,,,土門一美,5
5,1,1,オースミシャダイ,牡5,,松永昌博,02:34.6, 3/4,,,武邦彦,12
6,2,4,ランニングフリー,牡8,,菅原泰夫,02:34.6,クビ,,,本郷一彦,9
7,1,2,ヤエノムテキ,牡6,,岡部幸雄,02:34.7,クビ,,,荻野光男,6
8,5,10,ミスターシクレノン,牡6,,松永幹夫,02:34.9,1    ,,,小林稔,13
9,7,14,ゴーサイン,牡4,,南井克巳,02:34.9,クビ,,,宇田明彦,7
10,4,7,メジロアルダン,牡6,,河内洋,02:34.9,ハナ,,,奥平真治,2
11,6,11,リアルバースデー,牡5,,大崎昭一,02:35.0,クビ,,,佐藤林次郎,8
11,8,15,カチウマホーク,牡5,,的場均,02:35.0,同着,,,柄崎義信,11
13,5,9,キョウエイタップ,牝4,,柴田善臣,02:35.2,1 1/4,,,稗田研二,10
14,6,12,エイシンサニー,牝4,,田島良保,02:35.3, 3/4,,,坂口正則,16
15,3,6,サンドピアリス,牝5,,岸滋彦,02:35.4, 3/4,,,吉永忍,15
16,8,16,ラケットボール,牡6,,坂井千明,02:36.0,3 1/2,,,松山康久,14
