順位,出来事
1位,カレーにヒ素混入、４人死亡
2位,長野五輪開催、日本「金」５個
3位,Ｗ杯開催、日本初出場
4位,参院選で自民惨敗、小渕内閣が発足
5位,戦後最悪不況に、２４兆円の緊急経済対策
6位,横浜がプロ野球日本一
7位,黒沢明映画監督死去
8位,北朝鮮ミサイル、三陸沖に着弾
9位,金融ビッグバン始動
10位,若乃花、連覇で初の兄弟横綱誕生
